profile,follower
428,462646
428,634757
428,3519106
236,46309
236,200383
1080,202673
1080,210590
1080,646795
1080,17878733
1080,168008314
671,4562
671,327999
537,325300
834,917194
877,50645
877,77584
877,117038
877,146807
877,182195
877,490112
877,703943
877,1211514
877,1694900
877,1952658
877,3611592
877,5848965
877,10202547
877,10250381
877,25892607
877,30024968
877,33310373
1725,124425
1725,6119087
1725,81976848
1274,141856
1274,157337
1274,309575
1274,430721
1274,8198569
1274,8458688
1274,38172519
1274,74947059
1274,75424241
907,9466
907,19865
907,37121
907,69637
907,91020
907,159438
907,268786
907,516661
907,747122
907,1248384
907,1689956
907,2374862
907,5654856
907,7720700
907,14636153
907,19396675
907,46128970
907,55891198
907,99290921
1903,1495124
1903,24970921
2130,216710
2130,1106333
2130,74947059
1977,25182
1977,35011
1977,66597
1977,189699
1977,264725
1977,285211
1977,5411245
1977,11671919
1977,46063656
1977,145729994
2274,252297
2274,481862
2274,1038897
3276,30686
3276,349663
3276,959832
3276,1094708
3276,1147507
3276,2909622
3276,8030192
3276,217991700
3153,50334
3153,189699
3153,402990
3153,20421143
3153,22754011
3153,32111180
3153,74947059
3761,29792
4562,35956
4562,36538
4562,59853
4562,172100
4562,241154
4562,327999
4562,355461
4562,358186
3761,183454
4562,512743
4562,991268
4189,5752
4562,1502854
4562,2517502
4189,14002
4562,3871998
4562,5904590
4562,7049172
4564,715988
4189,21410
4564,1162142
4562,9614321
4562,10489804
4562,10495440
4023,42944615
4562,10833523
4562,11974420
4562,50319167
4562,72459221
4562,134675066
4189,68470
4189,68661
4189,148609
4189,227024
4189,387132
5652,879143
4189,558616
6295,157337
4189,2015576
4189,2898280
6295,1091211
7262,31974
7262,82250
7200,208723
7200,211094
5752,7344
6303,308911
7262,325300
7061,59184
4189,18112376
7200,506895
4189,24076816
6303,881756
5752,16057
7200,1582692
6303,2055038
7200,5572183
7061,741568
7061,748956
5752,48042
7061,2298279
7262,1557811
7262,2085050
7061,11252938
8047,170117
8047,330960
8047,1543131
8047,8452334
4189,171042436
5876,57266
5876,131588
5876,235987
5876,325300
5876,349885
5876,387132
5876,856359
5876,858473
5876,878593
8377,34365746
5876,1567746
5876,1675754
5752,3423654
9587,19971
8792,52217
8792,199596
9587,182632
5876,5057796
8792,1973781
8792,3674672
9466,815443
10449,10913
9587,3199697
10449,15990
10449,26758
10449,30686
10449,46163
10913,15990
10913,26758
10913,30686
10098,741568
5876,7845563
10449,92749
10913,72058
10098,1070227
10913,79162
10449,115110
10098,1786818
10913,115110
10449,162618
10449,172162
10449,331612
11106,275418
10449,455282
10098,6285983
10966,23207
10913,331612
10449,747447
11794,12605
10449,1067305
5752,13323255
10449,1147507
10913,455282
10913,492769
9466,5496742
10966,41611
10913,747447
11106,1469770
11106,2052933
5752,20300313
11106,11900128
11106,67187134
10449,14583337
11794,382176
9466,9590025
9466,10287357
11794,1129414
9466,28717345
11794,9590025
5876,18017129
5876,18929202
5876,19629464
12267,647966
12267,1162142
12267,8704123
5876,27772427
5876,38300797
5876,46463493
10966,375972
10966,485571
10966,802477
12699,76973
12699,142815
12699,172100
12699,202911
12699,244507
5876,80229969
12699,312978
5876,81613095
12699,377426
12699,388334
12699,484180
12699,502945
10966,1599965
5876,100199497
5876,107303922
10966,2168178
5876,135800537
12605,397415
10098,84884974
12699,709704
12106,30686
5876,147762905
10966,3301550
12699,962421
12699,972870
12699,991268
12699,1080133
12699,1094708
12699,1154228
12699,1171466
12699,1206684
12699,1211514
12699,1358636
12699,1369444
12699,1482917
12699,1706728
12699,1740321
12699,2247113
12699,2374452
12699,2442051
12699,2868363
10966,5568810
12699,3296509
12699,3743111
12699,4544150
12699,5492101
12699,5854229
12699,5963173
12699,6585141
12699,7908736
5876,189590109
12699,10833523
12699,15584160
12699,16219574
12699,19397413
12699,37132707
12699,45661392
12699,47429324
12699,55237272
12699,74947059
12699,91218790
12699,202600333
10966,72396036
13876,37962
14002,14799
13876,213701
14002,95211
13942,534551
14002,4016591
13876,943895
13876,2851941
13876,3364431
13876,3889561
13876,10505428
13876,12981963
13876,13869437
13876,16521898
13876,24395666
13876,61937573
10098,171880255
10098,178933293
14214,19121
14214,29792
14214,202678
14157,1760332
14157,2578566
14157,5130008
14214,74947059
14157,8392667
13949,108170055
14642,1518127
14642,44160618
14642,53147037
14677,2546200
14677,18582709
15037,19628
15037,100828
15037,312134
15037,1190652
15055,1540848
15037,11055044
15037,17556021
15037,36390599
14799,320393
14799,388334
14799,408238
14799,793408
14799,965561
14799,1098387
14799,2818602
14799,4554800
14799,7265381
14799,19397413
14799,20421143
14799,37058229
14799,74947059
10098,228902363
15478,1694458
15478,9090677
15352,1711621
15221,23485
15221,30191
15221,30988
15221,34932
15221,35011
15221,80740
15221,83202
15515,4914734
15221,200632
15221,203209
15221,235987
15221,259878
15221,349885
15221,387132
15221,417218
15515,32669706
15221,505252
15221,564668
15221,878593
15990,30686
15221,1268422
15221,1321861
15990,329316
15990,331612
15990,1067305
15990,1595730
15221,1466761
15221,1474534
15990,2362180
15221,1573013
15221,1859948
15221,2687582
15221,2877365
15221,3009385
15221,3700753
15221,4033386
15221,4267382
15221,4313907
15221,10353144
15221,24542137
15221,25451743
15221,74947059
15221,92232868
15221,100199497
15221,136716374
15221,212610927
16057,213742
16057,230955
16057,756216
16057,1035828
13949,415064130
16278,181712
16278,241109
16278,507251
16278,536956
16278,756216
16278,1380797
16278,1989031
16278,2066230
16278,4016591
16278,178966688
16278,259111843
17078,6184860
17184,2033945
17817,112831
17817,9001184
18512,2511631
18512,74947059
18658,22593
18658,34932
18658,713678
18658,1326836
18658,3665799
18658,6062948
18658,208000792
18773,198261
18882,333417
18882,354881
18976,162991
18976,19221400
19121,20481
19121,30680
19121,88231
19121,92131
19121,114374
19121,173249
19121,189699
19121,192339
19121,264725
19121,377671
19121,564668
19121,867926
19121,885185
19121,959832
19121,1044226
19121,1197989
19121,2544683
19121,9172588
19121,46790686
19121,74947059
19121,181339639
19628,38176
19628,11055044
19628,36390599
19628,74947059
19628,201789475
19691,290231
19691,524446
19691,2444194
19691,6809237
19691,202182680
19833,71591
19833,89661
19833,193249
19833,921303
19833,201914992
19833,316952990
19862,92380
19862,137096
19862,144798
19862,585191
19862,804029
19862,1083868
19862,1935286
19862,2434403
19862,3101304
19862,3996272
19862,6779536
19862,7874118
19865,51573
19862,16972019
19905,190307
19865,2146624
19905,1275660
19862,47509270
19862,86530135
19971,182632
19905,142926112
19971,352237
19971,451612
19971,647966
19971,1332866
19862,143803176
19971,2797908
19971,3646393
19971,7497618
19862,165344324
19971,11893810
19862,217532670
19862,238203626
19971,45982673
20025,78889
20025,634757
20025,34179937
20025,93136993
19862,360228093
20481,26768
20481,377671
20481,959832
20481,1044226
20481,1197989
20481,9172588
20481,12618333
20481,37058229
20481,52186261
20481,181339639
20481,248421079
20648,28706
20648,29450
20648,74111
20648,406112
20648,741568
20648,853877
20648,1859948
20648,2158336
20648,4913738
20648,6511292
20648,6897252
20648,7529018
20648,11252938
20648,12291730
20648,13074457
20648,13295775
20752,21275
20648,51108270
20648,107677774
20648,116252804
20648,143803176
20648,145792865
20648,151798154
20648,186998155
20648,197988511
20648,297496568
21103,366718
21103,469320
21103,906573
21103,1699440
21103,48584631
21275,65369
21275,495279
21275,4033386
21275,16468088
21410,1187613
21410,7920701
21410,178873414
21813,46943
21813,106133
21813,152319
21813,197276
21813,74947059
22338,448374
22338,848107
22338,2586404
22338,12727985
22338,194821572
22355,253331
22355,411643
22355,217991700
22457,47443
22457,4077646
22498,73941
22498,85746
22498,215771
22498,345440
22498,366031
22498,430721
22498,596676
22498,979655
22498,1943504
22498,2007115
22498,2949047
22498,3046721
22498,3782707
22498,5502682
22498,6671995
22498,10470796
22498,32700477
22498,32759424
22498,40820106
22498,53445711
22498,63686494
22498,73807545
22498,78252598
22498,103654678
22498,118246666
22498,148413474
22593,354881
23207,52217
23207,98196
23207,129036
23207,229210
23207,237814
23207,2574014
23207,4895389
23207,34937877
23485,46309
23485,76332
23485,80978
23485,103199
23485,139767
23485,205113
23485,254705
23485,319207
23485,448136
24312,316781
24486,264277
23485,630091
23485,769670
24584,119184
24584,171876
23485,1038897
23485,1071750
24584,971893
23485,1911296
23485,1934393
24584,1390629
23485,2196733
23485,4887895
24584,226804531
23485,11805906
25182,202878
25118,29946
25182,522058
25182,915506
25118,172162
23485,22620284
25446,37742
25446,84975
25118,790864
25118,1739583
25118,2424250
25118,3007273
25118,3207105
25118,3547430
25118,5865246
25118,6585141
25118,7399167
25446,254781
25118,8040675
25118,13436260
25118,17758602
25118,18314014
25446,288885
25118,19851352
25446,311264
25446,330249
25118,88126810
25118,295828786
25446,714170
25446,867926
25446,928459
25446,965561
25446,1007317
25446,1286318
25446,1296445
25446,5831925
23485,228119163
23485,237581066
25693,967991
25693,2076106
25693,9526337
25693,26394747
25704,59894
25704,377426
25693,52593604
25704,418214
25704,709704
25704,1210422
25704,7002295
25704,13362536
25704,32865690
26758,43519
26758,50590
26334,99420
26768,30680
26334,265655
26768,56443
26726,576517
26768,73941
26758,160729
26768,88231
26758,245217
26758,437679
26758,514033
26768,122896
26758,633434
26768,181553
26768,186439
26758,859005
26758,903287
26334,3137504
26758,1200669
26768,263397
26758,1739583
26768,312583
26758,2442051
26768,377671
26758,3296509
26758,3321323
26758,7637293
26758,12621749
26758,22946118
26768,1197989
26758,32211893
26758,181130475
26768,2816763
26768,3756275
26768,4530176
26768,4674463
26768,5633889
26768,6433854
26768,7978553
26768,9172588
26768,11900128
26768,16465318
26768,19397413
26768,20401468
26768,21575961
26768,24542137
26768,36762447
26768,37058229
26768,44069460
26768,46790686
26768,52186261
26768,82971423
26768,101618018
26768,169845538
26768,177337752
26768,246339049
26807,66530
26807,103199
27021,227024
27021,95498566
27146,83810
27146,1763463
27146,2225539
27146,4728518
27146,50727526
27146,67187134
27146,201836454
27723,71591
27723,72058
27723,75443
27723,138980
27723,139767
27723,199596
27723,368276
27723,511817
27723,835251
27723,1188347
27723,1432262
27723,2021730
28138,197383
28138,393849
28138,2898280
27723,9745399
27723,10772774
27723,11971031
27723,12291730
27808,80308798
27723,18363444
27723,32908517
27723,42657174
28165,178218
28165,885165
28165,2876719
28165,94099595
27723,184620641
27723,240486531
28445,128308
28445,197383
28445,341073
27723,424038949
27723,428974657
28706,44084
28706,170614
28706,268252
28706,312093
29237,164932
29237,253266
29237,12400429
28445,1257690
28445,1996324
28445,3159501
28706,2691787
28706,3010699
28706,63115953
28445,10556741
28445,176457649
29450,92380
29407,3476842
29407,16172372
29450,148500
29946,53439
29946,66967
29946,115110
29946,339971
29946,870419
29450,246837
29946,1422592
29946,1545365
29946,1947278
29450,288279
29946,4187512
29450,354955
29450,368276
29450,375972
29450,387132
29450,417218
29450,429121
29792,124276
29450,495279
29450,499786
29792,192414
29450,539495
29792,1021252
29450,1040746
29819,53651243
30571,681878
29450,1240020
30191,91825
29792,78206259
30191,213587
30571,74947059
29450,1593720
29450,1708460
30191,919683
30622,114644
30191,2813665
30191,2818498
30622,148500
30191,3897537
30680,88231
30680,92131
30191,7603978
30191,10309787
30680,173249
30680,377671
30680,397415
30680,541449
30680,959832
30680,1044226
30680,1197989
30622,4187512
30680,2516355
30680,6423057
30680,46790686
29324,420203758
30803,82751
30803,828571
30803,131344754
29450,3616027
29450,3646393
29450,3899301
29450,4035438
30686,115110
30686,172162
30686,189699
30686,205144
30686,208292
30686,263104
30686,265655
30686,331612
30686,349663
30988,59653
30686,400754
30686,408626
30686,411094
30686,455282
30686,480602
30686,738537
30686,973740
31046,90410
30686,1061675
30686,1067305
30686,1151018
30686,1286706
30686,1305762
31046,1045769
31046,24302415
30988,325300
30686,2079158
29450,7501304
31198,62233621
29450,7570600
30686,2362180
30686,2504227
29450,7845563
30686,3271839
30686,3512522
30686,3602761
30686,4926732
30988,541785
30686,5586704
30686,7440708
30686,8030192
31198,115065374
29450,9745399
30988,804983
29450,10631248
30686,32111180
29450,11104219
29450,11252938
30686,74947059
30686,259076504
29450,13323255
31198,243137436
31401,4368587
31401,7355913
31656,1861848
31656,74947059
31401,189838318
31439,848107
31439,39642916
31439,194821572
29450,16241943
31827,82748
31879,51537
31827,718304
31827,832823
31879,244600
31879,256708
31827,1198299
31827,1387212
31827,1450493
31827,1538925
31827,2050192
31879,2446377
31879,2467244
31879,2855994
31879,7908736
31879,15179588
31879,28881416
31879,53445711
31879,122084594
31879,184316653
31827,10168019
31198,419101381
31198,420203758
31974,13442221
29450,27772427
31878,668640
31878,804029
31878,1203681
31878,1675754
29450,30695553
29450,31427561
31878,3417370
31878,7397650
31878,8563110
31878,18762610
31878,24387165
32538,252297
31878,57673406
32538,275692
32538,514033
31878,92212698
31878,147469597
31878,168480018
31878,170045070
31878,222653106
31878,296212186
32545,159438
32538,9455481
32662,356046
32545,366399
32662,1023706
32545,1881994
32662,17089789
32545,24481476
33155,46778
32736,31714628
33155,69795
32736,63002267
32736,115263381
33155,159438
33155,163254
33155,259689
33155,269757
29450,47033331
29450,48349570
29450,49029331
33971,43519
33971,157337
33971,161835
33971,265655
33971,290188
33971,328041
29450,62870354
33971,523488
34095,55190
